,x,y,z,des_x,des_y,des_z,qw,qx,qy,qz,des_qw,des_qx,des_qy,des_qz
0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,-0.5,0.5,-0.5,0.5547001962252291,0.5547001962252291,0.5547001962252291,-0.2773500981126146
1,1.005050505050505,1.0,1.0,1.005050505050505,1.0,1.0,0.49999997209258856,-0.5000000278993805,0.5000000282088197,-0.4999999717992082,0.556391876878473,0.5539466798823994,0.5539466798823994,-0.2769733399411997
2,1.0101010101010102,1.0,1.0,1.0101010101010102,1.0,1.0,0.4999998936602186,-0.5000001063063364,0.5000001075900049,-0.4999998924433945,0.5580810564088038,0.5531909593852876,0.5531909593852876,-0.2765954796926438
3,1.0151515151515151,1.0,1.0,1.0151515151515151,1.0,1.0,0.4999997705286296,-0.5000002293958138,0.5000002323456758,-0.49999976772966753,0.5597677678007572,0.5524330210306474,0.5524330210306474,-0.2762165105153237
4,1.02020202020202,1.0,1.0,1.02020202020202,1.0,1.0,0.49999960657975434,-0.5000003932881707,0.5000003985948507,-0.499999601536597,0.5614520365418225,0.5516728542102305,0.5516728542102305,-0.27583642710511524
5,1.0252525252525253,1.0,1.0,1.0252525252525253,1.0,1.0,0.499999404418564,-0.5000005953811328,0.5000006037223894,-0.4999993964764756,0.5631338809378478,0.5509104513398719,0.5509104513398719,-0.27545522566993597
6,1.0303030303030303,1.0,1.0,1.0303030303030303,1.0,1.0,0.4999991658072101,-0.5000008339150841,0.5000008459521696,-0.49999915432271375,0.5648133124260353,0.5501458077864773,0.5501458077864773,-0.27507290389323863
7,1.0353535353535355,1.0,1.0,1.0353535353535355,1.0,1.0,0.49999889194664815,-0.5000011076912166,0.5000011240691186,-0.49999887628803513,0.5664903358857413,0.5493789217928268,0.5493789217928268,-0.2746894608964134
8,1.0404040404040404,1.0,1.0,1.0404040404040404,1.0,1.0,0.4999985836610398,-0.5000014158870766,0.5000014372364368,-0.4999985632073054,0.5681649499472666,0.5486097944001203,0.5486097944001203,-0.2743048972000601
9,1.0454545454545454,1.0,1.0,1.0454545454545454,1.0,1.0,0.4999982415195982,-0.5000017579347459,0.5000017848743031,-0.4999982156588,0.5698371472987853,0.5478384293681984,0.5478384293681984,-0.2739192146840992
10,1.0505050505050506,1.0,1.0,1.0505050505050506,1.0,1.0,0.49999786591780265,-0.5000021334396866,0.5000021665786739,-0.49999783404534504,0.5715069149915379,0.547064833093383,0.547064833093383,-0.2735324165466915
11,1.0555555555555556,1.0,1.0,1.0555555555555556,1.0,1.0,0.49999745713197574,-0.5000025421262294,0.5000025820664824,-0.49999741864905284,0.5731742347433809,0.5462890145238913,0.5462890145238913,-0.27314450726194567
